Ano,OBJETO.1,OBJETO.2,VALORES PREVISTOS,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
2013,33,Passagens e despesas c/ locom.,"R$ 580000,00",R$ 0,"R$ 15340,66",R$ 0,"R$ 13478,14","R$ 84286,1",R$ 0,"R$ 122253,06","R$ 35443,73","R$ 55957,08","R$ 4015,37","R$ 18742,69","R$ 125237,11","R$ 474753,94"
2013,03,Pensões,"R$ 11366000,00","R$ 828063,32","R$ 904818,06","R$ 231626,66","R$ 1014355,28","R$ 1001257,67","R$ 978865,5","R$ 950165,74","R$ 913460,73","R$ 922305,88","R$ 1391902,7","R$ 1208556,23","R$ 3083059,74","R$ 13428437,51"
2013,PESSOAL,PESSOAL E ENCARGOS SOCIAIS,"R$ 153892000,00","R$ 11305214,29","R$ 11420481,32","R$ 8175367,84","R$ 11205006,58","R$ 10787543,24","R$ 11834920,81","R$ 12209724,47","R$ 10344182,83","R$ 10113436,8","R$ 13318425,67","R$ 12962431,24","R$ 32714460,71","R$ 156391195,80"
2013,31,"Premiaçoes culturais, Art. Cient.Desp.","R$ 20000,00",R$ 0,R$ 5700,R$ 700,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 6400,00"
2013,96,Ressarc. Desp pessoal requisitado,"R$ 700000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2013,91,Sentenças Judiciais,"R$ 1000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2013,35,Serviço de Consultoria,"R$ 100000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2013,11,Vencimentos e vantagens fixas,"R$ 98262072,00","R$ 7660829,66","R$ 6798793,54","R$ 5419536,34","R$ 6956313,96","R$ 6564723,03","R$ 7611166,98","R$ 7999097,6","R$ 6007611,45","R$ 5933342,2","R$ 6804822,61","R$ 6781236,55","R$ 16226764,99","R$ 90764238,91"
2014,INVESTIMENTO,,"R$ 11600000,00",R$ 0,R$ 0,R$ 0,R$ 0,"R$ 2221,44","R$ 29825,3",R$ 0,"R$ 48989,37","R$ 85642,66","R$ 55320,41","R$ 121762,6",R$ 0,"R$ 343761,78"
2014,01,Aposentadorias,"R$ 19459781,36","R$ 2668766,31","R$ 2520202,99","R$ 3064062,7","R$ 2495598,84","R$ 6442130,53","-R$ 1833427,79","R$ 1773453,03","-R$ 2712502,37","R$ 1748765,48","R$ 1744873,71","R$ 1744873,71","R$ 1891088,28","R$ 21547885,42"
2014,61,Aquisição de Imóveis,"R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2014,46,Auxílio alimentação,"R$ 11000000,00","R$ 711981,74","R$ 762708,84","R$ 763527,09","R$ 746672,57","R$ 895290,82","R$ 879827,21","R$ 905681,77","R$ 917480,87","R$ 918626,32","R$ 915918,15","R$ 909462,79","R$ 915727,19","R$ 10242905,36"
2014,42,Auxílios,"R$ 3735,58",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 3735,58",R$ 0,R$ 0,"R$ 3735,58"
2014,04,Contratação por tempo determinado,"R$ 136634,28","R$ 38262,84","R$ 38262,84","R$ 40640,34","R$ 19595,79",R$ 0,R$ 0,R$ 0,"-R$ 127,53",R$ 0,R$ 0,R$ 0,R$ 0,"R$ 136634,28"
2014,41,Contribuições,"R$ 987959,43",R$ 0,R$ 0,R$ 0,R$ 330565,R$ 0,R$ 0,R$ 330565,R$ 0,R$ 0,"R$ 326829,43",R$ 0,R$ 50000,"R$ 1037959,43"
2014,92,Despesas de exercícios anteriores,"R$ 46920705,20",R$ 0,"R$ 1815,2","R$ 55,05",R$ 0,"R$ 4005,2","R$ 6162942,14","R$ 7893062,45","R$ 16468975,85","R$ 6323874,95","R$ 4030072,23","R$ 2020715,13","R$ 6599642,51","R$ 49505160,71"
2014,14,Diárias,"R$ 600000,00","R$ 47429,13","R$ 41554,97","R$ 73380,24","R$ 69881,24","R$ 76197,42","R$ 30773,92","R$ 77426,3","R$ 58508,91","R$ 59547,18","R$ 61849,12","R$ 32467,17","R$ 23467,45","R$ 652483,05"
2014,52,Equipamento e material permanente,"R$ 1074231,82",R$ 0,R$ 0,R$ 0,R$ 0,"R$ 2221,44","R$ 29825,3",R$ 0,"R$ 43878,79",R$ 0,"R$ 51584,83","R$ 22134,68",R$ 0,"R$ 149645,04"
2014,93,Indenizações e restituições,"R$ 925385,20","R$ 48818,56","R$ 177055,3","R$ 93774,31","-R$ 8873,75","R$ 70073,91","R$ 51833,92","R$ 52267,07","R$ 65743,39","R$ 251178,73","R$ 66282,38","R$ 51066,97","R$ 2158199,32","R$ 3077420,11"
2014,37,Locação de mão-de-obra,"R$ 1000000,00",R$ 0,R$ 0,"R$ 154126,14",R$ 0,"R$ 77063,07","R$ 82682,37","R$ 148506,84","R$ 81259,17","R$ 25176,6","R$ 81259,17","R$ 92717,52","R$ 69800,82","R$ 812591,70"
2014,30,Material de consumo,"R$ 1325540,57",R$ 0,R$ 2000,"R$ 47675,34","R$ 45578,61","R$ 83678,32","R$ 31789,34","R$ 92347,72","R$ 31428,59","R$ 66606,15","R$ 49582,56","R$ 49118,34","R$ 26822,48","R$ 526627,45"
2014,32,"Material, Bem ou Serv.Dist.Gratuita","R$ 20000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2014,51,Obras e Instalações,"R$ 10500000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 5110,58","R$ 85642,66",R$ 0,"R$ 99627,92",R$ 0,"R$ 190381,16"
2014,13,Obrigações Patronais,"R$ 541365,72",R$ 0,"R$ 43441,42","R$ 37232,7","R$ 46425,71","R$ 53830,43","R$ 56648,72","R$ 56040,6","R$ 55886,59",R$ 58341,"R$ 57888,6","R$ 60169,59","R$ 170558,55","R$ 696463,91"
2014,47,Obrigações Tributárias e contributivas,"R$ 195100,00","R$ 391,26","R$ 6666,11","R$ 135,14","R$ 68,86","R$ 421,35","R$ 1549,62","R$ 128,22","R$ 1699,29","R$ 155,99","R$ 31,29","R$ 69,9","R$ 62,6","R$ 11379,63"
2014,OUTRAS,OUTRAS DESPESAS CORRENTES,"R$ 24125000,00","R$ 973447,14","R$ 1192798,07","R$ 1241438,63","R$ 1545417,49","R$ 1710436,76","R$ 1433179,24","R$ 2156989,68","R$ 1805706,21","R$ 1497168,86","R$ 1669871,28","R$ 1740731,75","R$ 3789702,87","R$ 20756887,98"
2014,16,Outras despesas variáveis,"R$ 4000000,00","R$ 348925,09","R$ 295630,4","R$ 345918,32","R$ 310486,13","R$ 277229,22","R$ 260619,3","R$ 310630,66","R$ 334556,75","R$ 327976,39","R$ 322676,04","R$ 321836,73","R$ 726218,71","R$ 4182703,74"
2014,08,Outros Benefícios Assistenciais,"R$ 100000,00",R$ 0,R$ 0,"R$ 26589,68",R$ 0,R$ 0,"R$ 8250,77",R$ 0,R$ 0,"R$ 53179,36",R$ 0,R$ 0,R$ 4200,"R$ 92219,81"
2014,05,Outros benefícios previdenciários,"R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2014,39,Outros Serviços de Terc. PJ,"R$ 22032,60",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2014,39,Outros Serviços de Terc. PJ,"R$ 7374294,80","R$ 158426,45","R$ 165021,19","R$ 121415,83","R$ 259676,07","R$ 457211,89","R$ 342332,09","R$ 445682,69","R$ 537820,82","R$ 289283,73","R$ 123784,9","R$ 561553,1","R$ 489675,98","R$ 3951884,74"
2014,36,Outros Serviços de Terc.P.Física,"R$ 111000,00",R$ 0,R$ 4140,R$ 4140,R$ 4140,R$ 5140,R$ 4140,R$ 4140,"R$ 4470,5",R$ 1800,R$ 9391,"R$ 5370,5","R$ 5370,5","R$ 52242,50"
2014,33,Passagens e despesas c/ locom.,"R$ 626000,00",R$ 0,"R$ 54627,61",R$ 0,"R$ 31537,55","R$ 41354,78",R$ 0,"R$ 100244,07","R$ 107294,67",R$ 0,"R$ 34943,28","R$ 38905,46","R$ 46376,53","R$ 455283,95"
2014,03,Pensões,"R$ 8256233,44","R$ 1107344,18","R$ 1045182,87","R$ 1126228,38","R$ 1089468,21","R$ 2186815,34","-R$ 330171,81","R$ 755204,88","-R$ 922688,37","R$ 778719,81","R$ 815541,49","R$ 1197632,71","R$ 1094146,42","R$ 9943424,11"
2014,PESSOAL,PESSOAL E ENCARGOS SOCIAIS,"R$ 188962087,52","R$ 13624935,96","R$ 11175520,97","R$ 13978958,73","R$ 12032889,42","R$ 22759332,12","R$ 8450719,22","R$ 20095168,8","R$ 14628751,56","R$ 17694618,07","R$ 14451426,66","R$ 13307787,02","R$ 20890069,46","R$ 183090177,99"
2014,31,"Premiaçoes culturais, Art. Cient.Desp.","R$ 6400,00",R$ 6400,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 6400,00"
2014,96,Ressarc. Desp pessoal requisitado,"R$ 621000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2014,91,Sentenças Judiciais,"R$ 1000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2014,35,Serviço de Consultoria,"R$ 1000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2014,11,Vencimentos e vantagens fixas,"R$ 108877687,52","R$ 9461637,54","R$ 7210009,3","R$ 9321496,1","R$ 8137486,08","R$ 13799326,6","R$ 4134108,66","R$ 9306777,18","R$ 1404650,64","R$ 8288555,24","R$ 7480374,59","R$ 7962559,15","R$ 10408414,99","R$ 96915396,07"
2015,INVESTIMENTO,,"R$ 1199545,29",R$ 0,R$ 0,"R$ 298042,29",R$ 0,R$ 30291,"R$ 27075,27","R$ 11981,44",R$ 10455,"R$ 199,5","R$ 83465,63","R$ 180760,56","R$ 106429,98","R$ 748700,67"
2015,01,Aposentadorias,"R$ 26707823,48","R$ 1758709,76","R$ 2158243,7","R$ 1985900,33","R$ 1987864,75","R$ 1970159,14","R$ 2061370,35","R$ 1986914,16","R$ 2000750,81","R$ 2000420,78","R$ 2000420,78","R$ 2000658,23","R$ 2348041,88","R$ 24259454,67"
2015,61,Aquisição de Imóveis,"R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2015,46,Auxílio alimentação,"R$ 11227832,52","R$ 923045,41","R$ 919863,59","R$ 912799,93","R$ 946718,1","R$ 922536,26","R$ 936981,73","R$ 936727,18","R$ 940927,21","R$ 935645,4","R$ 930618,08","R$ 938318,13","R$ 941754,45","R$ 11185935,47"
2015,42,Auxílios,"R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2015,04,Contratação por tempo determinado,"R$ 1000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2015,41,Contribuições,"R$ 1717465,16",R$ 0,R$ 236130,R$ 0,R$ 127500,R$ 0,R$ 127500,R$ 170000,R$ 0,"R$ 151758,63",R$ 0,R$ 212500,"R$ 152093,95","R$ 1177482,58"
2015,92,Despesas de exercícios anteriores,"R$ 24541533,72","R$ 2070472,05","R$ 2052883,08","R$ 2029932,93","R$ 1955621,62","R$ 1790499,25","R$ 1778932,44","R$ 1732312,56","R$ 1582323,4","R$ 1549059,5","R$ 1493372,57","R$ 1422123,1","R$ 1092966,96","R$ 20550499,46"
2015,14,Diárias,"R$ 800000,00","R$ 12909,46","R$ 35273,16","R$ 72317,82","R$ 101499,62","R$ 99272,37","R$ 63087,46","R$ 65011,54","R$ 63349,78","R$ 86602,39","R$ 43571,28","R$ 46922,47","R$ 28385,72","R$ 718203,07"
2015,52,Equipamento e material permanente,"R$ 597200,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 27491,R$ 6780,"R$ 11981,44",R$ 10455,"R$ 199,5","R$ 58070,63","R$ 152260,56","R$ 5999,98","R$ 273238,11"
2015,93,Indenizações e restituições,"R$ 13043224,00","R$ 796186,99","R$ 703610,28","R$ 783047,87","R$ 835049,94","R$ 764513,89","R$ 787020,77","R$ 869425,24","R$ 803609,78","R$ 729199,52","R$ 807592,62","R$ 804597,44","R$ 761677,1","R$ 9445531,44"
2015,37,Locação de mão-de-obra,"R$ 1369985,49",R$ 0,R$ 0,"R$ 160878,5","R$ 80439,25",R$ 0,"R$ 107791,97","R$ 215583,94","R$ 107791,97",R$ 0,"R$ 110105,8","R$ 110461,77","R$ 110461,77","R$ 1003514,97"
2015,30,Material de consumo,"R$ 1094183,00",R$ 0,R$ 2000,"R$ 34481,08",R$ 20440,"R$ 51948,83","R$ 45573,3","R$ 41002,4","R$ 116901,38","R$ 44908,92","R$ 107467,53","R$ 8539,21","R$ 16162,75","R$ 489425,40"
2015,32,"Material, Bem ou Serv.Dist.Gratuita","R$ 20000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2015,51,Obras e Instalações,"R$ 299545,29",R$ 0,R$ 0,"R$ 298042,29",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 298042,29"
2015,13,Obrigações Patronais,"R$ 834000,00",R$ 0,"R$ 62597,91","R$ 68443,75","R$ 63467,71","R$ 63068,54","R$ 65533,39","R$ 66985,38","R$ 115740,65",R$ 0,"R$ 52762,48","R$ 52754,32","R$ 165132,94","R$ 776487,07"
2015,47,Obrigações Tributárias e contributivas,"R$ 64400,41","R$ 18,78","R$ 374,51",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 425,65",R$ 0,R$ 0,R$ 0,"R$ 818,94"
2015,OUTRAS,OUTRAS DESPESAS CORRENTES,"R$ 37332835,60","R$ 1017796,85","R$ 2033011,46","R$ 2411470,03","R$ 3267152,28","R$ 2250511,33","R$ 2761598,17","R$ 3383462,22","R$ 3011779,55","R$ 2686918,06","R$ 3098383,81","R$ 3084830,27","R$ 2924476,32","R$ 31931390,35"
2015,16,Outras despesas variáveis - pessoal civíl,"R$ 6731000,00","R$ 575939,94","R$ 596994,73","R$ 423218,85","R$ 486004,51","R$ 486854,85","R$ 466601,01","R$ 513462,46","R$ 550479,41","R$ 526411,87","R$ 582109,46","R$ 464994,37","R$ 501996,33","R$ 6175067,79"
2015,08,Outros Benefícios Assistenciais,"R$ 3451000,00",R$ 0,R$ 0,R$ 0,R$ 0,"R$ 30471,1","R$ 410766,28","R$ 496133,34","R$ 485013,96","R$ 495816,49","R$ 487680,95","R$ 503155,22","R$ 496357,65","R$ 3405394,99"
2015,05,Outros benefícios previdenciários,"R$ 1000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2015,39,Outros Serviços de Terc. PJ,"R$ 300000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 20295,27",R$ 0,R$ 0,R$ 0,R$ 25395,R$ 28500,R$ 100430,"R$ 174620,27"
2015,39,Outros Serviços de Terc. PJ,"R$ 6962287,82","R$ 81823,2","R$ 143884,7","R$ 453955,83","R$ 330474,2","R$ 347846,81","R$ 248125,87","R$ 518818,08","R$ 445618,66","R$ 236867,09","R$ 531475,83","R$ 422699,53",R$ 387428,"R$ 4149017,80"
2015,36,Outros Serviços de Terc.P.Física,"R$ 211000,00",R$ 0,R$ 0,R$ 8941,"R$ 4470,5","R$ 4920,5","R$ 13820,5","R$ 23610,5","R$ 14003,97","R$ 5693,97","R$ 14443,97","R$ 14395,57","R$ 14149,17","R$ 118449,65"
2015,33,Passagens e despesas c/ locom.,"R$ 505000,00",R$ 0,R$ 0,R$ 0,"R$ 9442,58","R$ 64295,55","R$ 20930,29",R$ 46860,"R$ 34562,84",R$ 0,"R$ 65427,75","R$ 23240,93","R$ 16005,76","R$ 280765,70"
2015,03,Pensões,"R$ 12401000,00","R$ 793055,92","R$ 896536,42","R$ 902857,41","R$ 904387,63","R$ 884722,96","R$ 937228,02","R$ 886921,97","R$ 864132,48","R$ 851560,35","R$ 851560,35","R$ 1326464,11","R$ 1252733,66","R$ 11352161,28"
2015,PESSOAL,PESSOAL E ENCARGOS SOCIAIS,"R$ 206112468,72","R$ 16716232,35","R$ 14945989,4","R$ 13923333,1","R$ 13321542,85","R$ 13960363,32","R$ 16451333,68","R$ 16273486,93","R$ 13920801,43","R$ 13676215,45","R$ 13830031,28","R$ 14220172,06","R$ 17861339,41","R$ 179100841,26"
2015,31,"Premiaçoes culturais, Art. Cient.Desp.","R$ 16900,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 6400,R$ 0,R$ 290,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 6690,00"
2015,96,Ressarc. Desp pessoal requisitado,"R$ 670000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2015,91,Sentenças Judiciais,"R$ 1000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2015,35,Serviço de Consultoria,"R$ 1000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2015,11,Vencimentos e vantagens fixas,"R$ 131075468,72","R$ 10721867,69","R$ 9170608,78","R$ 8498027,83","R$ 8735314,72","R$ 8726164,6","R$ 11141668,47","R$ 11086890,4","R$ 8807374,68","R$ 8748762,95","R$ 8849805,64","R$ 8953177,93","R$ 12500467,64","R$ 115940131,33"
2016,INVESTIMENTO,,"R$ 2054402,85",R$ 0,R$ 0,"R$ 102221,69","R$ 3498,8","R$ 6619,8","R$ 82137,45",R$ 43585,"R$ 17524,52","R$ 56301,2",R$ 54321,R$ 159387,"R$ 144572,85","R$ 670169,31"
2016,01,Aposentadorias,"R$ 26730000,00","R$ 2007057,68","R$ 2041719,14","R$ 2023956,92","R$ 2006574,91","R$ 1689053,33","R$ 1670915,74","R$ 1705286,42","R$ 2009349,82","R$ 1700625,78","R$ 2315941,57","R$ 1699700,05","R$ 1754571,09","R$ 22624752,45"
2016,61,Aquisição de Imóveis,"R$ 100000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2016,46,Auxílio alimentação,"R$ 11435000,00","R$ 942454,51","R$ 936409,04","R$ 933799,95","R$ 940227,21","R$ 930490,9","R$ 928454,44","R$ 940990,82","R$ 943027,22","R$ 899118,09","R$ 933099,87","R$ 935390,83","R$ 968327,23","R$ 11231790,11"
2016,42,Auxílios,"R$ 25348,65",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 15348,65","R$ 15348,65"
2016,04,Contratação por tempo determinado,"R$ 1000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2016,41,Contribuições/ A Inst. Privadas,"R$ 1514761,88",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 454761,88",R$ 0,R$ 637500,R$ 0,"R$ 1092261,88"
2016,41,Contribuições/ União,"R$ 0,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
